Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1.0,1.0,0.43315207853187637,0.125,0.0,0.36814570743360975,1.0
1,0.0,0.0,0.5794308998041521,0.125,0.0,0.6150800861267713,0.0
1,1.0,0.0,0.4623461705678389,0.0,0.0,0.43828637974458046,1.0
1,0.0,0.0,0.5638056570361273,0.125,0.0,0.5951117782251508,1.0
0,1.0,1.0,0.5638056570361273,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4571766445812755,0.5
0,0.0,1.0,0.6571603408131788,0.0,0.0,0.5893723924921064,1.0
0,1.0,1.0,0.3025785219266238,0.375,0.16666666666666666,0.5236656813522597,1.0
1,1.0,0.0,0.4675096096866259,0.0,0.3333333333333333,0.4783210927660373,1.0
1,0.5,0.0,0.3662656893461075,0.125,0.0,0.5616485246560272,0.0
1,1.0,0.0,0.32945315255386226,0.125,0.16666666666666666,0.5133270005850489,1.0
1,0.0,0.0,0.6767077140108874,0.0,0.0,0.5477878099218253,1.0
0,1.0,1.0,0.4160650722164084,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.584289009059101,0.125,0.8333333333333333,0.5665407176699173,1.0
0,1.0,0.0,0.3662656893461075,0.0,0.0,0.4167698439704556,1.0
1,0.5,0.0,0.6620602653890139,0.0,0.0,0.5104631443015722,1.0
0,1.0,1.0,0.3025785219266238,0.5,0.16666666666666666,0.5573255055537766,0.5
1,0.5,1.0,0.4978259932790342,0.0,0.0,0.4895936900036676,1.0
0,1.0,0.0,0.5421291926909031,0.125,0.0,0.5147917997571257,1.0
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.3464032120058173,0.0
0,0.5,1.0,0.5638056570361273,0.0,0.0,0.5373931885097546,1.0
1,0.5,1.0,0.5579035407552049,0.0,0.0,0.4895936900036676,1.0
1,1.0,0.0,0.3705765930857424,0.0,0.0,0.441274771208135,0.5
1,0.0,1.0,0.4978259932790342,0.0,0.0,0.5744411836158962,1.0
0,1.0,0.0,0.34894368318324626,0.375,0.16666666666666666,0.5236656813522597,1.0
1,1.0,0.0,0.5794308998041521,0.125,0.8333333333333333,0.5683943213256838,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.3464032120058173,0.0
0,0.0,1.0,0.40799002034336385,0.375,0.3333333333333333,0.7476408695413723,1.0
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.42022887813169896,0.5
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.42845836148554584,1.0
0,0.0,1.0,0.5897450537859864,0.0,0.0,0.5513742636740908,0.0
1,0.0,0.0,0.4978259932790342,0.125,0.0,0.6763616417665399,0.0
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.39492446436253303,0.5
0,0.5,1.0,0.7326214720145752,0.0,0.0,0.4740870124718861,1.0
0,0.0,1.0,0.4978259932790342,0.125,0.0,0.6350166209398078,0.0
0,0.0,1.0,0.5987240403310208,0.125,0.0,0.5916289642426651,1.0
1,1.0,1.0,0.4978259932790342,0.0,0.0,0.3574588034684496,0.0
0,1.0,1.0,0.42391839883370597,0.0,0.0,0.4483469373725304,1.0
0,1.0,0.0,0.3966623340983409,0.25,0.0,0.5147917997571257,1.0
1,1.0,0.0,0.3662656893461075,0.125,0.0,0.4788163108705553,0.0
0,1.0,0.0,0.5897450537859864,0.125,0.0,0.46489663306264006,1.0
0,0.5,0.0,0.4675096096866259,0.125,0.0,0.5221747008933499,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.42845836148554584,0.0
1,0.5,0.0,0.3192163198209954,0.125,0.3333333333333333,0.5828794417891092,0.0
1,1.0,0.0,0.40799002034336385,0.0,0.0,0.42022887813169896,0.5
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.4978259932790342,0.125,0.0,0.5067685847733391,0.5
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.39492446436253303,0.5
0,1.0,1.0,0.4978259932790342,0.25,0.0,0.524551811545529,0.0
0,1.0,0.0,0.3966623340983409,0.125,0.0,0.5143031687425621,1.0
0,1.0,1.0,0.3455320871135414,0.5,0.16666666666666666,0.5807978374617785,1.0
0,1.0,1.0,0.42391839883370597,0.0,0.0,0.4133897688236018,1.0
1,0.0,0.0,0.6312386886545315,0.125,0.0,0.6209702814681355,0.0
1,0.5,0.0,0.5289318002833451,0.125,0.0,0.5373931885097546,1.0
0,0.0,1.0,0.7236435489390141,0.0,0.16666666666666666,0.6065973239429013,0.0
1,0.0,1.0,0.4978259932790342,0.0,0.0,0.5744411836158962,1.0
1,0.5,0.0,0.42391839883370597,0.0,0.0,0.4740870124718861,1.0
0,1.0,1.0,0.5261114974053895,0.0,0.0,0.3574588034684496,0.0
1,0.5,0.0,0.3390462187492944,0.125,0.3333333333333333,0.552772643984155,1.0
0,1.0,1.0,0.3602944976272512,0.625,0.3333333333333333,0.5850006231744665,1.0
0,1.0,1.0,0.43315207853187637,0.0,0.0,0.3574588034684496,0.0
1,0.0,0.0,0.5794308998041521,0.0,0.0,0.6324753476211937,1.0
0,0.0,1.0,0.6123987547851958,0.125,0.0,0.6390079088233989,1.0
0,1.0,1.0,0.32945315255386226,0.375,0.3333333333333333,0.5541822734678037,1.0
0,0.0,1.0,0.4978259932790342,0.0,0.0,0.5513742636740908,0.0
1,1.0,1.0,0.4978259932790342,0.125,0.16666666666666666,0.5048327479576674,0.0
1,0.5,0.0,0.5289318002833451,0.0,0.0,0.4740870124718861,1.0
0,1.0,1.0,0.40799002034336385,0.0,0.0,0.4556404123594616,1.0
1,1.0,0.0,0.3866391952087103,0.5,0.3333333333333333,0.43828637974458046,1.0
0,1.0,1.0,0.4623461705678389,0.25,0.0,0.4599876370181719,1.0
0,0.5,1.0,0.5475147250141573,0.0,0.0,0.4740870124718861,1.0
0,1.0,0.0,0.3779565283814268,0.625,0.3333333333333333,0.5850006231744665,1.0
0,0.5,1.0,0.42391839883370597,0.0,0.0,0.6173277077533108,1.0
0,1.0,1.0,0.4623461705678389,0.125,0.0,0.49951692650738605,0.0
1,1.0,1.0,0.5475147250141573,0.0,0.0,0.600375001533275,1.0
0,1.0,1.0,0.45626973624712763,0.0,0.0,0.38008805088651243,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.42845836148554584,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,1.0
1,0.5,1.0,0.2565922732431476,0.0,0.3333333333333333,0.5563693366318496,1.0
1,1.0,0.0,0.5353177329359075,0.0,0.0,0.4825135405955714,1.0
0,1.0,1.0,0.43315207853187637,0.0,0.0,0.4630430943713601,1.0
1,1.0,1.0,0.5289318002833451,0.0,0.0,0.4664848597225169,1.0
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.4104195456672644,0.5
0,0.0,1.0,0.4978259932790342,0.0,0.0,0.586568732783775,1.0
1,0.5,0.0,0.3866391952087103,0.0,0.0,0.4740870124718861,1.0
1,1.0,0.0,0.5533351189055027,0.375,0.0,0.50943500827718,1.0
0,1.0,1.0,0.3779565283814268,0.125,0.5,0.5721802927901016,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,1.0
1,0.0,0.0,0.44034960864719086,0.375,0.3333333333333333,0.7476408695413723,1.0
0,1.0,1.0,0.44778803129651024,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.5289318002833451,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.4160650722164084,0.0,0.0,0.4167698439704556,1.0
0,0.0,1.0,0.6173277077533108,0.125,0.0,0.6058090321668446,1.0
0,1.0,1.0,0.4623461705678389,0.125,0.3333333333333333,0.5211836891200355,1.0
0,1.0,1.0,0.6807836801695953,0.0,0.0,0.36814570743360975,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,1.0
0,0.0,1.0,0.7687962598487188,0.0,0.0,0.5733085091078924,0.0
